Time,PERIOD,Sales_Decomp,Sales,Actual_forecast
1,W 2015 01,,597.657339489714,
2,W 2015 02,,582.208947865101,
3,W 2015 03,,592.230085530553,
4,W 2015 04,,524.531695138109,
5,W 2015 05,,483.696689327162,
6,W 2015 06,,610.782191496877,
7,W 2015 07,,515.934049166309,
8,W 2015 08,,558.900990328819,
9,W 2015 09,,518.60221058074,
10,W 2015 10,,494.480083802643,
11,W 2015 11,,550.190507657206,
12,W 2015 12,,457.086031626919,
13,W 2015 13,,518.337369157579,
14,W 2015 14,,542.760613978524,
15,W 2015 15,,468.836916869872,
16,W 2015 16,,471.820052297528,
17,W 2015 17,,395.385332308462,
18,W 2015 18,,389.203697185072,
19,W 2015 19,,465.844318910645,
20,W 2015 20,,467.308563519683,
21,W 2015 21,,394.596894292447,
22,W 2015 22,,464.15031907158,
23,W 2015 23,,404.316927241708,
24,W 2015 24,,436.65934316252,
25,W 2015 25,,519.82095555314,
26,W 2015 26,,405.945561588847,
27,W 2015 27,,446.693407513544,
28,W 2015 28,,481.07331175189,
29,W 2015 29,,449.339284906736,
30,W 2015 30,,427.245603590405,
31,W 2015 31,,453.531290287488,
32,W 2015 32,,471.998651160824,
33,W 2015 33,,477.694573934581,
34,W 2015 34,,440.994790281446,
35,W 2015 35,,407.604459108921,
36,W 2015 36,,463.398819155929,
37,W 2015 37,,540.789657280875,
38,W 2015 38,,490.342400258189,
39,W 2015 39,,496.039467441058,
40,W 2015 40,,524.235718061155,
41,W 2015 41,,465.816696341068,
42,W 2015 42,,427.528742598579,
43,W 2015 43,,604.712189573502,
44,W 2015 44,,620.042977274578,
45,W 2015 45,,542.493773092857,
46,W 2015 46,,548.191676002987,
47,W 2015 47,,625.255692640872,
48,W 2015 48,,547.516200472329,
49,W 2015 49,,564.020554978405,
50,W 2015 50,,516.35784544148,
51,W 2015 51,,631.749188104835,
52,W 2015 52,,678.695260535168,
53,W 2016 01,,629.676475961208,
54,W 2016 02,,597.772031262259,
55,W 2016 03,,600.755290610257,
56,W 2016 04,,644.532139445872,
57,W 2016 05,,683.568033223716,
58,W 2016 06,,425.010273584804,
59,W 2016 07,,489.014964785204,
60,W 2016 08,,588.341500656644,
61,W 2016 09,,476.794289849312,
62,W 2016 10,,554.891189840017,
63,W 2016 11,,562.475317056408,
64,W 2016 12,,672.525977499698,
65,W 2016 13,,572.662568427946,
66,W 2016 14,,553.674127178177,
67,W 2016 15,,596.022124512284,
68,W 2016 16,,487.658539358806,
69,W 2016 17,,525.83690309321,
70,W 2016 18,,458.089379930293,
71,W 2016 19,,534.147252049398,
72,W 2016 20,,548.59914220042,
73,W 2016 21,,535.510923611641,
74,W 2016 22,,579.134673448826,
75,W 2016 23,,448.793037976465,
76,W 2016 24,,442.394411974319,
77,W 2016 25,,610.005084389949,
78,W 2016 26,,498.230839137182,
79,W 2016 27,,395.084441175356,
80,W 2016 28,,567.228985299997,
81,W 2016 29,,469.579209441903,
82,W 2016 30,,587.8808985162,
83,W 2016 31,,574.818281816772,
84,W 2016 32,,540.600322159253,
85,W 2016 33,,581.396890167267,
86,W 2016 34,,598.333487851177,
87,W 2016 35,,566.067155361125,
88,W 2016 36,,681.855306426368,
89,W 2016 37,,594.326421882554,
90,W 2016 38,,515.043166897901,
91,W 2016 39,,646.02039993616,
